Site,1,2,3,4,5,6,7,8
J6b,0,0,0,0,0,0,0,0
J6c,1,0,0,0,0,1,1,0
J6d,0,0,0,0,0,0,0,0
I6a,1,0,0,0,1,1,0,0
I6b,1,0,1,0,0,0,0,0
I6c,0,1,0,0,0,0,0,1
I6d,1,1,1,1,1,0,1,1
I5a,0,0,1,0,0,0,0,1
I5b,0,1,0,1,0,0,0,1
I5c,0,0,0,0,1,1,1,1
I5d,0,0,0,0,1,0,0,0
P6a,0,0,1,0,1,0,0,1
P6b,0,0,0,0,1,0,0,0
P6c,0,0,1,0,0,0,0,0
P6d,1,0,0,0,0,1,0,0
O6a,1,1,1,1,1,0,1,1
O6b,1,1,1,1,1,1,1,1
O6c,1,1,1,1,1,1,1,1
O6d,1,0,1,1,1,1,1,1
N3a,0,0,1,0,0,0,0,0
N3b,1,1,0,0,1,0,1,0
N3c,0,1,0,0,0,0,1,0
N3d,0,0,0,0,0,0,1,1
L2a,0,0,0,0,0,0,0,0
L2b,0,0,0,0,0,0,0,0
L2c,0,0,0,0,0,0,0,0
L2d,0,0,0,0,0,0,0,0
L3a ,0,1,1,1,0,0,0,0
L3b,1,1,0,0,1,1,1,1
L3c,1,1,0,1,1,1,1,1
L3d,1,1,1,1,1,0,1,1
K3a,0,0,0,0,0,0,0,1
K3b,0,1,0,0,0,0,1,1
K3c,1,0,0,1,0,0,0,1
K3d,1,1,0,1,0,1,1,1
O4a,1,1,0,0,0,0,0,0
O4b,0,0,0,0,0,0,1,0
O4c,0,0,1,0,0,1,0,1
O4d,0,0,1,1,1,0,1,0
O5a,0,0,1,1,1,0,1,1
O5b,0,0,0,0,0,0,0,0
O5c,0,0,0,0,1,0,1,0
O5d,0,0,1,0,0,0,0,0
E4a,0,0,0,0,0,0,0,0
E4b,0,0,0,0,0,0,0,0
E4d,0,1,0,1,1,0,0,1
N6a,1,0,1,0,0,1,1,0
N6b,1,1,1,1,1,1,1,1
N6c,0,1,0,0,1,0,1,1
N6d,1,1,1,1,1,1,1,1
L6a,1,1,1,1,0,0,1,0
L6b,1,1,1,1,1,1,1,1
L6c,0,0,0,1,0,0,0,1
L6d,1,0,1,1,1,0,0,0
J4a,1,0,1,1,1,1,1,1
J4b,1,1,1,1,0,1,1,0
K6a,0,1,0,1,0,0,1,1
K6b,0,1,1,1,0,1,1,1
K6c,1,1,0,1,0,1,1,1
K6d,1,1,1,1,1,1,0,0
D2c,0,0,0,0,0,0,0,0
K2c,0,0,1,1,0,1,0,0
K2d,0,1,0,0,1,1,0,1
P4c,0,1,0,1,1,1,1,0
P4d,0,0,0,0,0,0,0,0
C2c,0,0,0,1,0,0,0,0
C2d,0,0,0,0,0,0,0,0
E3a,0,0,0,1,1,0,1,1
E3c,0,1,1,1,1,0,1,0
E3d,0,0,0,0,0,0,0,0
E6c,0,1,1,1,0,1,0,0
E6d,1,1,0,0,1,0,1,1
F6a,1,1,0,1,1,0,0,0
F6b,1,1,1,1,0,1,0,0
F6c,1,0,0,1,1,1,1,1
F6d,1,1,1,1,1,1,1,1
G6a,1,0,1,1,1,1,1,1
G6b,1,1,1,1,1,1,1,1
G6c,1,1,1,1,1,1,1,1
G6d,1,1,0,1,0,1,1,1
H6a,1,1,1,0,0,1,1,1
H6b,0,1,1,1,1,0,1,0
H6c,1,1,0,1,1,1,1,1
H6d,1,1,1,1,1,1,1,1
N5a,1,1,1,1,1,1,0,0
N5b,1,1,1,1,1,1,1,1
N5c,0,0,0,0,0,0,0,1
N5d,1,1,0,0,1,1,0,1
